679747,2024-12-05 21:51:09,OPEN,,
305200,2024-12-05 21:51:53,DOWN,toalha,
9ab306,2024-12-05 21:52:09,FREE,toalha,
5a20de,2024-12-05 21:52:36,FREE,toalha,
9d572d,2024-12-05 21:53:49,QUIT,,
3036ba,2024-12-05 21:55:42,OPEN,,
34bebb,2024-12-05 21:56:45,DOWN,toalha,
378c9d,2024-12-07 10:22:02,OPEN,,
65d7b0,2024-12-07 10:22:12,DOWN,animal,
70ce2f,2024-12-07 11:07:31,OPEN,,
2e1255,2024-12-07 11:24:05,FREE,toalha,
aca202,2024-12-07 11:24:59,OPEN,,
87e497,2024-12-07 11:26:04,OPEN,,
750ea8,2024-12-07 11:26:36,DOWN,enxugar,
08e1b8,2024-12-07 11:28:32,TEST,enxugar,0
d5ea74,2024-12-07 11:28:57,TEST,enxugar,0
017972,2024-12-07 11:29:46,TEST,enxugar,0
8f8702,2024-12-07 11:31:10,TEST,enxugar,0
bd73cd,2024-12-07 11:33:12,TEST,enxugar,0
9585d7,2024-12-07 11:33:34,TEST,enxugar,0
667362,2024-12-07 11:34:29,TEST,enxugar,0
64447f,2024-12-07 11:35:01,TEST,enxugar,0
128024,2024-12-07 11:36:58,TEST,enxugar,0
8701bc,2024-12-07 11:37:31,TEST,enxugar,0
dd5e54,2024-12-07 11:38:44,TEST,enxugar,0
6b82e6,2024-12-07 11:41:07,TEST,enxugar,COMP
a5f2df,2024-12-07 11:43:07,TEST,enxugar,0
0d80ce,2024-12-07 11:43:41,TEST,enxugar,COMP
1ec551,2024-12-07 11:44:02,TEST,enxugar,0
f91553,2024-12-07 11:44:29,TEST,enxugar,0
32dcae,2024-12-07 11:44:44,TEST,enxugar,100
377780,2024-12-07 11:44:57,TEST,enxugar,100
87bebd,2024-12-07 11:45:01,FREE,enxugar,
23b636,2024-12-08 09:19:31,OPEN,,
c6103f,2024-12-08 09:19:41,FREE,enxugar,
54203a,2024-12-08 09:20:22,TEST,enxugar,100
766f43,2024-12-08 09:20:28,FREE,enxugar,
145aa7,2024-12-08 09:22:28,FREE,enxugar,
90d83f,2024-12-08 09:26:55,DOWN,roupa,
ce7480,2024-12-08 09:48:33,TEST,roupa,COMP
4851c3,2024-12-08 09:50:29,TEST,roupa,COMP
2f4358,2024-12-08 09:50:37,TEST,roupa,COMP
54165a,2024-12-08 09:50:43,TEST,roupa,COMP
cfd8be,2024-12-08 09:50:55,TEST,roupa,COMP
aef849,2024-12-08 09:51:15,TEST,roupa,COMP
5c05ea,2024-12-08 09:51:43,TEST,roupa,COMP
c17e18,2024-12-08 09:52:23,TEST,roupa,COMP
b5ba5e,2024-12-08 09:53:28,TEST,roupa,COMP
fc02db,2024-12-08 09:53:51,TEST,roupa,0
4ad19e,2024-12-08 09:55:03,TEST,roupa,0
52c580,2024-12-08 09:55:29,TEST,roupa,0
786e54,2024-12-08 09:56:46,FREE,roupa,
ca9fae,2024-12-08 09:57:45,OPEN,,
